Period,changes-in-per-cent
30.11.1970,5.6
31.12.1970,5.570292
31.01.1971,5.291005
28.02.1971,5
31.03.1971,4.712042
30.04.1971,4.155844
31.05.1971,4.404145
30.06.1971,4.639175
31.07.1971,4.358974
31.08.1971,4.615385
30.09.1971,4.081633
31.10.1971,3.807107
30.11.1971,3.282828
31.12.1971,3.266332
31.01.1972,3.266332
29.02.1972,3.508772
31.03.1972,3.5
30.04.1972,3.491272
31.05.1972,3.225806
30.06.1972,2.70936
31.07.1972,2.948403
31.08.1972,2.941176
30.09.1972,3.186275
31.10.1972,3.422983
30.11.1972,3.667482
31.12.1972,3.406326
31.01.1973,3.649635
28.02.1973,3.874092
31.03.1973,4.589372
30.04.1973,5.060241
31.05.1973,5.528846
30.06.1973,5.995204
31.07.1973,5.727924
31.08.1973,7.380952
30.09.1973,7.36342
31.10.1973,7.801418
30.11.1973,8.254717
31.12.1973,8.705882
31.01.1974,9.389671
28.02.1974,10.02331
31.03.1974,10.39261
30.04.1974,10.091743
31.05.1974,10.70615
30.06.1974,10.859729
31.07.1974,11.512415
31.08.1974,10.864745
30.09.1974,11.946903
31.10.1974,12.061404
30.11.1974,12.200436
31.12.1974,12.337662
31.01.1975,11.802575
28.02.1975,11.228814
31.03.1975,10.251046
30.04.1975,10.208333
31.05.1975,9.465021
30.06.1975,9.387755
31.07.1975,9.716599
31.08.1975,8.6
30.09.1975,7.905138
31.10.1975,7.436399
30.11.1975,7.378641
31.12.1975,6.936416
31.01.1976,6.71785
29.02.1976,6.285714
31.03.1976,6.072106
30.04.1976,6.049149
31.05.1976,6.203008
30.06.1976,5.970149
31.07.1976,5.350554
31.08.1976,5.709024
30.09.1976,5.494505
31.10.1976,5.464481
30.11.1976,4.882459
31.12.1976,4.864865
31.01.1977,5.215827
28.02.1977,5.913978
31.03.1977,6.440072
30.04.1977,6.951872
31.05.1977,6.725664
30.06.1977,6.866197
31.07.1977,6.830123
31.08.1977,6.620209
30.09.1977,6.597222
31.10.1977,6.390328
30.11.1977,6.724138
31.12.1977,6.701031
31.01.1978,6.837607
28.02.1978,6.42978
31.03.1978,6.554622
30.04.1978,6.5
31.05.1978,6.965174
30.06.1978,7.413509
31.07.1978,7.704918
31.08.1978,7.843137
30.09.1978,8.306189
31.10.1978,8.928571
30.11.1978,8.885299
31.12.1978,9.017713
31.01.1979,9.28
28.02.1979,9.856916
31.03.1979,10.094637
30.04.1979,10.485133
31.05.1979,10.852713
30.06.1979,10.889571
31.07.1979,11.263318
31.08.1979,11.818182
30.09.1979,12.180451
