Period,changes-in-per-cent
1954-02-28,1.509434
1954-03-31,1.12782
1954-04-30,0.75188
1954-05-31,0.749064
1954-06-30,0.373134
1954-07-31,0.373134
1954-08-31,0
1954-09-30,-0.371747
1954-10-31,-0.740741
1954-11-30,-0.371747
1954-12-31,-0.743494
1955-01-31,-0.743494
1955-02-28,-0.743494
1955-03-31,-0.743494
1955-04-30,-0.373134
1955-05-31,-0.743494
1955-06-30,-0.743494
1955-07-31,-0.371747
1955-08-31,-0.371747
1955-09-30,0.373134
1955-10-31,0.373134
1955-11-30,0.373134
1955-12-31,0.374532
1956-01-31,0.374532
1956-02-29,0.374532
1956-03-31,0.374532
1956-04-30,0.749064
1956-05-31,1.123596
1956-06-30,1.872659
1956-07-31,2.238806
1956-08-31,1.865672
1956-09-30,1.858736
1956-10-31,2.230483
1956-11-30,2.230483
1956-12-31,2.985075
1957-01-31,2.985075
1957-02-28,3.358209
1957-03-31,3.731343
1957-04-30,3.717472
1957-05-31,3.703704
1957-06-30,3.308824
1957-07-31,3.284672
1957-08-31,3.663004
1957-09-30,3.284672
1957-10-31,2.909091
1957-11-30,3.272727
1957-12-31,2.898551
1958-01-31,3.623188
1958-02-28,3.249097
1958-03-31,3.597122
1958-04-30,3.584229
1958-05-31,3.214286
1958-06-30,2.846975
1958-07-31,2.473498
1958-08-31,2.120141
1958-09-30,2.120141
1958-10-31,2.120141
1958-11-30,2.112676
1958-12-31,1.760563
1959-01-31,1.398601
1959-02-28,1.048951
1959-03-31,0.347222
1959-04-30,0.346021
1959-05-31,0.346021
1959-06-30,0.692042
1959-07-31,0.689655
1959-08-31,1.038062
1959-09-30,1.384083
1959-10-31,1.730104
1959-11-30,1.37931
1959-12-31,1.730104
1960-01-31,1.034483
1960-02-29,1.730104
1960-03-31,1.730104
1960-04-30,1.724138
1960-05-31,1.724138
1960-06-30,1.718213
1960-07-31,1.369863
1960-08-31,1.369863
1960-09-30,1.023891
1960-10-31,1.360544
1960-11-30,1.360544
1960-12-31,1.360544
1961-01-31,1.706485
1961-02-28,1.360544
1961-03-31,1.360544
1961-04-30,1.016949
1961-05-31,1.016949
1961-06-30,0.675676
1961-07-31,1.351351
1961-08-31,1.013514
1961-09-30,1.351351
1961-10-31,0.671141
1961-11-30,0.671141
1961-12-31,0.671141
1962-01-31,0.671141
1962-02-28,1.006711
1962-03-31,1.006711
1962-04-30,1.342282
1962-05-31,1.342282
1962-06-30,1.342282
1962-07-31,1
1962-08-31,1.337793
1962-09-30,1.333333
1962-10-31,1.333333
1962-11-30,1.333333
1962-12-31,1.333333
1963-01-31,1.333333
1963-02-28,0.996678
1963-03-31,1.328904
1963-04-30,0.993377
1963-05-31,0.993377
1963-06-30,1.324503
1963-07-31,1.320132
1963-08-31,1.320132
1963-09-30,0.986842
1963-10-31,1.315789
1963-11-30,1.315789
1963-12-31,1.644737
1964-01-31,1.644737
1964-02-29,1.644737
1964-03-31,1.311475
1964-04-30,1.311475
1964-05-31,1.311475
1964-06-30,1.30719
1964-07-31,1.302932
1964-08-31,0.977199
1964-09-30,1.302932
1964-10-31,0.974026
1964-11-30,1.298701
1964-12-31,0.970874
1965-01-31,0.970874
1965-02-28,0.970874
1965-03-31,1.294498
1965-04-30,1.618123
1965-05-31,1.618123
1965-06-30,1.935484
1965-07-31,1.607717
1965-08-31,1.935484
1965-09-30,1.607717
1965-10-31,1.92926
1965-11-30,1.602564
1965-12-31,1.923077
1966-01-31,1.923077
1966-02-28,2.564103
1966-03-31,2.555911
1966-04-30,2.866242
1966-05-31,2.866242
1966-06-30,2.531646
1966-07-31,2.848101
1966-08-31,3.481013
1966-09-30,3.481013
1966-10-31,3.785489
1966-11-30,3.785489
1966-12-31,3.459119
1967-01-31,3.459119
1967-02-28,2.8125
1967-03-31,2.803738
1967-04-30,2.47678
1967-05-31,2.786378
1967-06-30,2.777778
1967-07-31,2.769231
1967-08-31,2.446483
1967-09-30,2.752294
1967-10-31,2.431611
1967-11-30,2.735562
1967-12-31,3.039514
1968-01-31,3.647416
1968-02-29,3.951368
1968-03-31,3.939394
1968-04-30,3.927492
1968-05-31,3.915663
1968-06-30,4.204204
1968-07-31,4.491018
1968-08-31,4.477612
1968-09-30,4.464286
1968-10-31,4.747774
1968-11-30,4.733728
1968-12-31,4.719764
1969-01-31,4.398827
1969-02-28,4.678363
1969-03-31,5.247813
1969-04-30,5.523256
1969-05-31,5.507246
1969-06-30,5.475504
1969-07-31,5.444126
1969-08-31,5.714286
1969-09-30,5.698006
1969-10-31,5.665722
1969-11-30,5.932203
1969-12-31,6.197183
1970-01-31,6.179775
1970-02-28,6.145251
1970-03-31,5.817175
1970-04-30,6.060606
1970-05-31,6.043956
1970-06-30,6.010929
1970-07-31,5.978261
1970-08-31,5.405405
1970-09-30,5.660377
1970-10-31,5.630027
1970-11-30,5.6
1970-12-31,5.570292
1971-01-31,5.291005
1971-02-28,5
1971-03-31,4.712042
1971-04-30,4.155844
1971-05-31,4.404145
1971-06-30,4.639175
1971-07-31,4.358974
1971-08-31,4.615385
1971-09-30,4.081633
1971-10-31,3.807107
1971-11-30,3.282828
1971-12-31,3.266332
1972-01-31,3.266332
1972-02-29,3.508772
1972-03-31,3.5
1972-04-30,3.491272
1972-05-31,3.225806
1972-06-30,2.70936
1972-07-31,2.948403
1972-08-31,2.941176
1972-09-30,3.186275
1972-10-31,3.422983
1972-11-30,3.667482
1972-12-31,3.406326
1973-01-31,3.649635
1973-02-28,3.874092
1973-03-31,4.589372
1973-04-30,5.060241
1973-05-31,5.528846
1973-06-30,5.995204
1973-07-31,5.727924
1973-08-31,7.380952
1973-09-30,7.36342
1973-10-31,7.801418
1973-11-30,8.254717
1973-12-31,8.705882
1974-01-31,9.389671
1974-02-28,10.02331
1974-03-31,10.39261
1974-04-30,10.091743
1974-05-31,10.70615
1974-06-30,10.859729
1974-07-31,11.512415
1974-08-31,10.864745
1974-09-30,11.946903
1974-10-31,12.061404
1974-11-30,12.200436
1974-12-31,12.337662
1975-01-31,11.802575
1975-02-28,11.228814
1975-03-31,10.251046
1975-04-30,10.208333
1975-05-31,9.465021
1975-06-30,9.387755
1975-07-31,9.716599
1975-08-31,8.6
1975-09-30,7.905138
1975-10-31,7.436399
1975-11-30,7.378641
1975-12-31,6.936416
1976-01-31,6.71785
1976-02-29,6.285714
1976-03-31,6.072106
1976-04-30,6.049149
1976-05-31,6.203008
1976-06-30,5.970149
1976-07-31,5.350554
1976-08-31,5.709024
1976-09-30,5.494505
1976-10-31,5.464481
1976-11-30,4.882459
1976-12-31,4.864865
1977-01-31,5.215827
1977-02-28,5.913978
1977-03-31,6.440072
1977-04-30,6.951872
1977-05-31,6.725664
1977-06-30,6.866197
1977-07-31,6.830123
1977-08-31,6.620209
1977-09-30,6.597222
1977-10-31,6.390328
1977-11-30,6.724138
1977-12-31,6.701031
1978-01-31,6.837607
1978-02-28,6.42978
1978-03-31,6.554622
1978-04-30,6.5
1978-05-31,6.965174
1978-06-30,7.413509
1978-07-31,7.704918
1978-08-31,7.843137
1978-09-30,8.306189
1978-10-31,8.928571
1978-11-30,8.885299
1978-12-31,9.017713
1979-01-31,9.28
1979-02-28,9.856916
1979-03-31,10.094637
1979-04-30,10.485133
1979-05-31,10.852713
1979-06-30,10.889571
1979-07-31,11.263318
1979-08-31,11.818182
1979-09-30,12.180451
1979-10-31,12.071535
1979-11-30,12.611276
1979-12-31,13.293944
1980-01-31,13.909224
1980-02-29,14.182344
1980-03-31,14.756447
1980-04-30,14.730878
1980-05-31,14.405594
1980-06-30,14.384509
1980-07-31,13.132695
1980-08-31,12.872629
1980-09-30,12.600536
1980-10-31,12.765957
1980-11-30,12.648221
1980-12-31,12.516297
1981-01-31,11.825193
1981-02-28,11.406844
1981-03-31,10.486891
1981-04-30,10
1981-05-31,9.779951
1981-06-30,9.5526
1981-07-31,10.76179
1981-08-31,10.804322
1981-09-30,10.952381
1981-10-31,10.141509
1981-11-30,9.590643
1981-12-31,8.922364
1982-01-31,8.390805
1982-02-28,7.622298
1982-03-31,6.779661
1982-04-30,6.50954
1982-05-31,6.681514
1982-06-30,7.064018
1982-07-31,6.441048
1982-08-31,5.850488
1982-09-30,5.042918
1982-10-31,5.139186
1982-11-30,4.589114
1982-12-31,3.829787
1983-01-31,3.711559
1983-02-28,3.488372
1983-03-31,3.597884
1983-04-30,3.898841
1983-05-31,3.549061
1983-06-30,2.57732
1983-07-31,2.461538
1983-08-31,2.558854
1983-09-30,2.860061
1983-10-31,2.851324
1983-11-30,3.265306
1983-12-31,3.790984
1984-01-31,4.192229
1984-02-29,4.596527
1984-03-31,4.800817
1984-04-30,4.563895
1984-05-31,4.233871
1984-06-30,4.221106
1984-07-31,4.204204
1984-08-31,4.291417
1984-09-30,4.270109
1984-10-31,4.257426
1984-11-30,4.051383
1984-12-31,3.948667
1985-01-31,3.532875
1985-02-28,3.515625
1985-03-31,3.703704
1985-04-30,3.685742
1985-05-31,3.77176
1985-06-30,3.760849
1985-07-31,3.554275
1985-08-31,3.349282
1985-09-30,3.142857
1985-10-31,3.22887
1985-11-30,3.51377
1985-12-31,3.79867
1986-01-31,3.886256
1986-02-28,3.113208
1986-03-31,2.255639
1986-04-30,1.590271
1986-05-31,1.491146
1986-06-30,1.765799
